cbsa,name,cong,adherents,pct_pop,rank_adherents,rank_pct
36820,"Oskaloosa, IA Micro Area",1,334,1.505182514646237,817,260
36900,"Ottumwa, IA Micro Area",1,334,0.9425177074808815,818,460
37800,"Pella, IA Micro Area",1,334,0.9995810139462501,819,425
43980,"Spencer, IA Micro Area",1,334,2.03857421875,820,178
44740,"Storm Lake, IA Micro Area",1,334,1.6039955818085772,821,232
13540,"Bennington, VT Micro Area",1,333,0.8916378825608483,822,505
11380,"Andrews, TX Micro Area",1,329,1.767866738312735,823,209
13060,"Bay City, TX Micro Area",1,329,0.9074610398565716,824,491
13300,"Beeville, TX Micro Area",1,329,1.0596837053499533,825,395
13700,"Big Spring, TX Micro Area",1,329,0.9437751004016065,826,459
14300,"Bonham, TX Micro Area",1,329,0.922550614099041,827,476
14420,"Borger, TX Micro Area",1,329,1.5957704806712907,828,234
14780,"Brenham, TX Micro Area",1,329,0.9188660801564028,829,481
15220,"Brownwood, TX Micro Area",1,329,0.8636303976899856,830,533
20300,"Dumas, TX Micro Area",1,329,1.54040640509411,831,250
20900,"El Campo, TX Micro Area",1,329,0.7914361318258358,832,595
23240,"Fredericksburg, TX Micro Area",1,329,1.2310570626753976,833,334
23620,"Gainesville, TX Micro Area",1,329,0.7895747336085245,834,597
25820,"Hereford, TX Micro Area",1,329,1.7704353441317333,835,208
28780,"Kingsville, TX Micro Area",1,329,1.0481044918763938,836,403
33420,"Mineral Wells, TX Micro Area",1,329,1.1580837058678588,837,359
34420,"Mount Pleasant, TX Micro Area",1,329,0.7526709523918464,838,634
37420,"Pampa, TX Micro Area",1,329,1.491792872041353,839,266
37580,"Paris, TX Micro Area",1,329,0.6568439546398339,840,701
37780,"Pecos, TX Micro Area",1,329,2.22117202268431,841,165
38380,"Plainview, TX Micro Area",1,329,1.0116229014205769,842,418
38920,"Port Lavaca, TX Micro Area",1,329,1.6363274644384762,843,224
40530,"Rockport, TX Micro Area",1,329,1.380612673101133,844,292
43660,"Snyder, TX Micro Area",1,329,1.943066383179778,845,185
44500,"Stephenville, TX Micro Area",1,329,0.7732988600305558,846,616
44860,"Sulphur Springs, TX Micro Area",1,329,0.894337673634708,847,503
45020,"Sweetwater, TX Micro Area",1,329,2.232324603066902,848,162
46620,"Uvalde, TX Micro Area",1,329,1.3393584106822993,849,305
